１５．調教師マスタ レコード長 3862 バイト
項番 キー 項目名 位置 繰返 バイト 合計 初期値 説明
1 レコード種別ID 1 2 "CH" をセットレコードフォーマットを特定する
2 データ区分 3 1 0
1:新規登録 2:更新
0:該当レコード削除(提供ミスなどの理由による)
3 データ作成年月日 4 8 0 西暦4桁＋月日各2桁 yyyymmdd 形式
4 ○ 調教師コード 12 5 0
5 調教師抹消区分 17 1 0 0:現役 1:抹消
6 調教師免許交付年月日 18 8 0 年4桁(西暦)＋月日各2桁 yyyymmdd 形式
7 調教師免許抹消年月日 26 8 0 年4桁(西暦)＋月日各2桁 yyyymmdd 形式
8 生年月日 34 8 0 年4桁(西暦)＋月日各2桁 yyyymmdd 形式
9 調教師名 42 34 Ｓ 全角17文字　姓＋全角空白1文字＋名　外国人の場合は連続17文字
10 調教師名半角ｶﾅ 76 30 sp 半角30文字　姓15文字＋名15文字　外国人の場合は連続30文字
11 調教師名略称 106 8 Ｓ 全角4文字
12 調教師名欧字 114 80 sp 半角80文字　姓＋半角空白1文字＋名　フルネームで記載
13 性別区分 194 1 0 1:男性　2:女性
14 調教師東西所属コード 195 1 0 <コード表 2301.東西所属コード>参照
15 招待地域名 196 20 Ｓ 全角10文字
16 <最近重賞勝利情報> 216 3 163 489 直近の重賞勝利から順に設定
a 　　年月日場回日R ( 1) 16 0 レース詳細のキー情報
b 　　競走名本題 ( 17) 60 Ｓ 全角30文字
c 　　競走名略称10文字 ( 77) 20 Ｓ 全角10文字
d 　　競走名略称6文字 ( 97) 12 Ｓ 全角6文字
e 　　競走名略称3文字 ( 109) 6 Ｓ 全角3文字
f 　　グレードコード ( 115) 1 sp <コード表 2003.グレードコード>参照
g 　　出走頭数 ( 116) 2 0 登録頭数から出走取消と競走除外･発走除外を除いた頭数
h 　　血統登録番号 ( 118) 10 0 生年(西暦)4桁＋品種1桁<コード表2201.品種コード>参照＋数字5桁
i 　　馬名 ( 128) 36 Ｓ 全角18文字
17 <本年･前年･累計成績情報> 705 3 1052 3156 現役調教師については本年・前年・累計の順に設定
引退調教師については引退年、引退前年・累計の順に設定
a 　　設定年 ( 1) 4 0 成績情報に設定されている年度(西暦)
b 　　平地本賞金合計 ( 5) 10 0 単位：百円　（中央の平地本賞金の合計）
c 　　障害本賞金合計 ( 15) 10 0 単位：百円　（中央の障害本賞金の合計）
d 　　平地付加賞金合計 ( 25) 10 0 単位：百円　（中央の平地付加賞金の合計）
e 　　障害付加賞金合計 ( 35) 10 0 単位：百円　（中央の障害付加賞金の合計）
f 　　平地着回数 ( 45) 6 6 36 0 1着～5着及び着外(6着以下)の回数（中央のみ)
g 　　障害着回数 ( 81) 6 6 36 0 1着～5着及び着外(6着以下)の回数（中央のみ)
　　<競馬場別着回数>
h 　　札幌平地着回数 ( 117) 6 6 36 0 札幌競馬場での1着～5着及び着外(6着以下)の回数（中央のみ）
i 　　札幌障害着回数 ( 153) 6 6 36 0 札幌競馬場での1着～5着及び着外(6着以下)の回数（中央のみ）
j 　　函館平地着回数 ( 189) 6 6 36 0 函館競馬場での1着～5着及び着外(6着以下)の回数（中央のみ）
k 　　函館障害着回数 ( 225) 6 6 36 0 函館競馬場での1着～5着及び着外(6着以下)の回数（中央のみ）
l 　　福島平地着回数 ( 261) 6 6 36 0 福島競馬場での1着～5着及び着外(6着以下)の回数（中央のみ）
m 　　福島障害着回数 ( 297) 6 6 36 0 福島競馬場での1着～5着及び着外(6着以下)の回数（中央のみ）
n 　　新潟平地着回数 ( 333) 6 6 36 0 新潟競馬場での1着～5着及び着外(6着以下)の回数（中央のみ）
o 　　新潟障害着回数 ( 369) 6 6 36 0 新潟競馬場での1着～5着及び着外(6着以下)の回数（中央のみ）
p 　　東京平地着回数 ( 405) 6 6 36 0 東京競馬場での1着～5着及び着外(6着以下)の回数（中央のみ）
q 　　東京障害着回数 ( 441) 6 6 36 0 東京競馬場での1着～5着及び着外(6着以下)の回数（中央のみ）
r 　　中山平地着回数 ( 477) 6 6 36 0 中山競馬場での1着～5着及び着外(6着以下)の回数（中央のみ）
s 　　中山障害着回数 ( 513) 6 6 36 0 中山競馬場での1着～5着及び着外(6着以下)の回数（中央のみ）
t 　　中京平地着回数 ( 549) 6 6 36 0 中京競馬場での1着～5着及び着外(6着以下)の回数（中央のみ）
u 　　中京障害着回数 ( 585) 6 6 36 0 中京競馬場での1着～5着及び着外(6着以下)の回数（中央のみ）
v 　　京都平地着回数 ( 621) 6 6 36 0 京都競馬場での1着～5着及び着外(6着以下)の回数（中央のみ）
w 　　京都障害着回数 ( 657) 6 6 36 0 京都競馬場での1着～5着及び着外(6着以下)の回数（中央のみ）
x 　　阪神平地着回数 ( 693) 6 6 36 0 阪神競馬場での1着～5着及び着外(6着以下)の回数（中央のみ）
y 　　阪神障害着回数 ( 729) 6 6 36 0 阪神競馬場での1着～5着及び着外(6着以下)の回数（中央のみ）
z 　　小倉平地着回数 ( 765) 6 6 36 0 小倉競馬場での1着～5着及び着外(6着以下)の回数（中央のみ）
aa 　　小倉障害着回数 ( 801) 6 6 36 0 小倉競馬場での1着～5着及び着外(6着以下)の回数（中央のみ）
　　<距離別着回数>
ab 　　芝16下・着回数 ( 837) 6 6 36 0 芝･1600M以下での1着～5着及び着外(6着以下)の回数（中央のみ)
ac 　　芝22下・着回数 ( 873) 6 6 36 0 芝･1601Ｍ以上2200M以下での1着～5着及び着外(6着以下)の回数（中央のみ)
ad 　　芝22超・着回数 ( 909) 6 6 36 0 芝･2201M以上での1着～5着及び着外(6着以下)の回数（中央のみ)
ae 　　ダ16下・着回数 ( 945) 6 6 36 0 ダート･1600M以下での1着～5着及び着外(6着以下)の回数（中央のみ)
af 　　ダ22下・着回数 ( 981) 6 6 36 0 ダート･1601Ｍ以上2200M以下での1着～5着及び着外(6着以下)の回数（中央のみ)
ag 　　ダ22超・着回数 (1017) 6 6 36 0 ダート･2201M以上での1着～5着及び着外(6着以下)の回数（中央のみ)
