列名,＃,データ・タイプ,身元,Collation,ヌルでない,デフォルト,コメント
record_id,1,varchar(2),[NULL],default,false,[NULL],レコード種別ID
data_kubun,2,varchar(1),[NULL],default,false,[NULL],データ区分
data_sakusei_nengappi,3,varchar(8),[NULL],default,false,[NULL],データ作成年月日
kaisai_nen,4,varchar(4),[NULL],default,true,[NULL],開催年
kaisai_tsukihi,5,varchar(4),[NULL],default,true,[NULL],開催月日
keibajo_code,6,varchar(2),[NULL],default,true,[NULL],競馬場コード
kaisai_kai,7,varchar(2),[NULL],default,false,[NULL],開催回[第N回]
kaisai_nichime,8,varchar(2),[NULL],default,false,[NULL],開催日目[N日目]
race_bango,9,varchar(2),[NULL],default,true,[NULL],レース番号
toroku_tosu,10,varchar(2),[NULL],default,false,[NULL],登録頭数
shusso_tosu,11,varchar(2),[NULL],default,false,[NULL],出走頭数
hatsubai_flag_tansho,12,varchar(1),[NULL],default,false,[NULL],発売フラグ　単勝
hatsubai_flag_fukusho,13,varchar(1),[NULL],default,false,[NULL],発売フラグ　複勝
hatsubai_flag_wakuren,14,varchar(1),[NULL],default,false,[NULL],発売フラグ　枠連
hatsubai_flag_umaren,15,varchar(1),[NULL],default,false,[NULL],発売フラグ　馬連
hatsubai_flag_wide,16,varchar(1),[NULL],default,false,[NULL],発売フラグ　ワイド
hatsubai_flag_umatan,17,varchar(1),[NULL],default,false,[NULL],発売フラグ　馬単
hatsubai_flag_sanrenpuku,18,varchar(1),[NULL],default,false,[NULL],発売フラグ　3連複
fukusho_chakubarai_key,19,varchar(1),[NULL],default,false,[NULL],複勝着払キー
henkan_umaban_joho,20,varchar(28),[NULL],default,false,[NULL],返還馬番情報(馬番01～28)
henkan_wakuban_joho,21,varchar(8),[NULL],default,false,[NULL],返還枠番情報(枠番1～8)
henkan_dowaku_joho,22,varchar(8),[NULL],default,false,[NULL],返還同枠情報(枠番1～8)
hyosu_tansho,23,varchar(420),[NULL],default,false,[NULL],単勝票数
hyosu_fukusho,24,varchar(420),[NULL],default,false,[NULL],複勝票数
hyosu_wakuren,25,varchar(540),[NULL],default,false,[NULL],枠連票数
hyosu_umaren,26,varchar(2754),[NULL],default,false,[NULL],馬連票数
hyosu_wide,27,varchar(2754),[NULL],default,false,[NULL],ワイド票数
hyosu_umatan,28,varchar(5508),[NULL],default,false,[NULL],馬単票数
hyosu_sanrenpuku,29,varchar(16320),[NULL],default,false,[NULL],3連複票数
hyosu_gokei_tansho,30,varchar(11),[NULL],default,false,[NULL],単勝票数合計
hyosu_gokei_fukusho,31,varchar(11),[NULL],default,false,[NULL],複勝票数合計
hyosu_gokei_wakuren,32,varchar(11),[NULL],default,false,[NULL],枠連票数合計
hyosu_gokei_umaren,33,varchar(11),[NULL],default,false,[NULL],馬連票数合計
hyosu_gokei_wide,34,varchar(11),[NULL],default,false,[NULL],ワイド票数合計
hyosu_gokei_umatan,35,varchar(11),[NULL],default,false,[NULL],馬単票数合計
hyosu_gokei_sanrenpuku,36,varchar(11),[NULL],default,false,[NULL],3連複票数合計
henkan_hyosu_gokei_tansho,37,varchar(11),[NULL],default,false,[NULL],単勝返還票数合計
henkan_hyosu_gokei_fukusho,38,varchar(11),[NULL],default,false,[NULL],複勝返還票数合計
henkan_hyosu_gokei_wakuren,39,varchar(11),[NULL],default,false,[NULL],枠連返還票数合計
henkan_hyosu_gokei_umaren,40,varchar(11),[NULL],default,false,[NULL],馬連返還票数合計
henkan_hyosu_gokei_wide,41,varchar(11),[NULL],default,false,[NULL],ワイド返還票数合計
henkan_hyosu_gokei_umatan,42,varchar(11),[NULL],default,false,[NULL],馬単返還票数合計
henkan_hyosu_gokei_sanrenpuku,43,varchar(11),[NULL],default,false,[NULL],3連複返還票数合計
