列名,＃,データ・タイプ,身元,Collation,ヌルでない,デフォルト,コメント
record_id,1,varchar(2),[NULL],default,false,[NULL],レコード種別ID
data_kubun,2,varchar(1),[NULL],default,false,[NULL],データ区分
data_sakusei_nengappi,3,varchar(8),[NULL],default,false,[NULL],データ作成年月日
kaisai_nen,4,varchar(4),[NULL],default,true,[NULL],開催年
kaisai_tsukihi,5,varchar(4),[NULL],default,true,[NULL],開催月日
keibajo_code,6,varchar(2),[NULL],default,true,[NULL],競馬場コード
kaisai_kai,7,varchar(2),[NULL],default,false,[NULL],開催回[第N回]
kaisai_nichime,8,varchar(2),[NULL],default,false,[NULL],開催日目[N日目]
race_bango,9,varchar(2),[NULL],default,true,[NULL],レース番号
toroku_tosu,10,varchar(2),[NULL],default,false,[NULL],登録頭数
shusso_tosu,11,varchar(2),[NULL],default,false,[NULL],出走頭数
fuseiritsu_flag_tansho,12,varchar(1),[NULL],default,false,[NULL],不成立フラグ　単勝
fuseiritsu_flag_fukusho,13,varchar(1),[NULL],default,false,[NULL],不成立フラグ　複勝
fuseiritsu_flag_wakuren,14,varchar(1),[NULL],default,false,[NULL],不成立フラグ　枠連
fuseiritsu_flag_umaren,15,varchar(1),[NULL],default,false,[NULL],不成立フラグ　馬連
fuseiritsu_flag_wide,16,varchar(1),[NULL],default,false,[NULL],不成立フラグ　ワイド
yobi_1,17,varchar(1),[NULL],default,false,[NULL],予備
fuseiritsu_flag_umatan,18,varchar(1),[NULL],default,false,[NULL],不成立フラグ　馬単
fuseiritsu_flag_sanrenpuku,19,varchar(1),[NULL],default,false,[NULL],不成立フラグ　3連複
fuseiritsu_flag_sanrentan,20,varchar(1),[NULL],default,false,[NULL],不成立フラグ　3連単
tokubarai_flag_tansho,21,varchar(1),[NULL],default,false,[NULL],特払フラグ　単勝
tokubarai_flag_fukusho,22,varchar(1),[NULL],default,false,[NULL],特払フラグ　複勝
tokubarai_flag_wakuren,23,varchar(1),[NULL],default,false,[NULL],特払フラグ　枠連
tokubarai_flag_umaren,24,varchar(1),[NULL],default,false,[NULL],特払フラグ　馬連
tokubarai_flag_wide,25,varchar(1),[NULL],default,false,[NULL],特払フラグ　ワイド
yobi_2,26,varchar(1),[NULL],default,false,[NULL],予備
tokubarai_flag_umatan,27,varchar(1),[NULL],default,false,[NULL],特払フラグ　馬単
tokubarai_flag_sanrenpuku,28,varchar(1),[NULL],default,false,[NULL],特払フラグ　3連複
tokubarai_flag_sanrentan,29,varchar(1),[NULL],default,false,[NULL],特払フラグ　3連単
henkan_flag_tansho,30,varchar(1),[NULL],default,false,[NULL],返還フラグ　単勝
henkan_flag_fukusho,31,varchar(1),[NULL],default,false,[NULL],返還フラグ　複勝
henkan_flag_wakuren,32,varchar(1),[NULL],default,false,[NULL],返還フラグ　枠連
henkan_flag_umaren,33,varchar(1),[NULL],default,false,[NULL],返還フラグ　馬連
henkan_flag_wide,34,varchar(1),[NULL],default,false,[NULL],返還フラグ　ワイド
