列名,＃,データ・タイプ,身元,Collation,ヌルでない,デフォルト,コメント
record_id,1,varchar(2),[NULL],default,false,[NULL],レコード種別ID
data_kubun,2,varchar(1),[NULL],default,false,[NULL],データ区分
data_sakusei_nengappi,3,varchar(8),[NULL],default,false,[NULL],データ作成年月日
record_shikibetsu_kubun,4,varchar(1),[NULL],default,true,[NULL],レコード識別区分
kaisai_nen,5,varchar(4),[NULL],default,true,[NULL],開催年
kaisai_tsukihi,6,varchar(4),[NULL],default,true,[NULL],開催月日
keibajo_code,7,varchar(2),[NULL],default,true,[NULL],競馬場コード
kaisai_kai,8,varchar(2),[NULL],default,false,[NULL],開催回[第N回]
kaisai_nichime,9,varchar(2),[NULL],default,false,[NULL],開催日目[N日目]
race_bango,10,varchar(2),[NULL],default,true,[NULL],レース番号
tokubetsu_kyoso_bango,11,varchar(4),[NULL],default,true,[NULL],特別競走番号
kyosomei_hondai,12,varchar(60),[NULL],default,false,[NULL],競走名本題
grade_code,13,varchar(1),[NULL],default,false,[NULL],グレードコード
kyoso_shubetsu_code,14,varchar(2),[NULL],default,true,[NULL],競走種別コード
kyori,15,varchar(4),[NULL],default,true,[NULL],距離
track_code,16,varchar(2),[NULL],default,true,[NULL],トラックコード
record_kubun,17,varchar(1),[NULL],default,false,[NULL],レコード区分
record_time,18,varchar(4),[NULL],default,false,[NULL],レコードタイム
tenko_code,19,varchar(1),[NULL],default,false,[NULL],天候コード
babajotai_code_shiba,20,varchar(1),[NULL],default,false,[NULL],芝馬場状態コード
babajotai_code_dirt,21,varchar(1),[NULL],default,false,[NULL],ダート馬場状態コード
record_hojiuma_joho_1,22,varchar(130),[NULL],default,false,[NULL],レコード保持馬情報1
record_hojiuma_joho_2,23,varchar(130),[NULL],default,false,[NULL],レコード保持馬情報2
record_hojiuma_joho_3,24,varchar(130),[NULL],default,false,[NULL],レコード保持馬情報3
