列名,＃,データ・タイプ,身元,Collation,ヌルでない,デフォルト,コメント
record_id,1,varchar(2),[NULL],default,false,[NULL],レコード種別ID
data_kubun,2,varchar(1),[NULL],default,false,[NULL],データ区分
data_sakusei_nengappi,3,varchar(8),[NULL],default,false,[NULL],データ作成年月日
kaisai_nen,4,varchar(4),[NULL],default,true,[NULL],開催年
kaisai_tsukihi,5,varchar(4),[NULL],default,true,[NULL],開催月日
keibajo_code,6,varchar(2),[NULL],default,true,[NULL],競馬場コード
kaisai_kai,7,varchar(2),[NULL],default,false,[NULL],開催回[第N回]
kaisai_nichime,8,varchar(2),[NULL],default,false,[NULL],開催日目[N日目]
race_bango,9,varchar(2),[NULL],default,true,[NULL],レース番号
yobi_code,10,varchar(1),[NULL],default,false,[NULL],曜日コード
tokubetsu_kyoso_bango,11,varchar(4),[NULL],default,false,[NULL],特別競走番号
kyosomei_hondai,12,varchar(60),[NULL],default,false,[NULL],競走名本題
kyosomei_fukudai,13,varchar(60),[NULL],default,false,[NULL],競走名副題
kyosomei_kakkonai,14,varchar(60),[NULL],default,false,[NULL],競走名カッコ内
kyosomei_hondai_eur,15,varchar(120),[NULL],default,false,[NULL],競走名本題欧字
kyosomei_fukudai_eur,16,varchar(120),[NULL],default,false,[NULL],競走名副題欧字
kyosomei_kakkonai_eur,17,varchar(120),[NULL],default,false,[NULL],競走名カッコ内欧字
kyosomei_ryakusho_10,18,varchar(20),[NULL],default,false,[NULL],競走名略称10文字
kyosomei_ryakusho_6,19,varchar(12),[NULL],default,false,[NULL],競走名略称6文字
kyosomei_ryakusho_3,20,varchar(6),[NULL],default,false,[NULL],競走名略称3文字
kyosomei_kubun,21,varchar(1),[NULL],default,false,[NULL],競走名区分
jusho_kaiji,22,varchar(3),[NULL],default,false,[NULL],重賞回次[第N回]
grade_code,23,varchar(1),[NULL],default,false,[NULL],グレードコード
kyoso_shubetsu_code,24,varchar(2),[NULL],default,false,[NULL],競走種別コード
kyoso_kigo_code,25,varchar(3),[NULL],default,false,[NULL],競走記号コード
juryo_shubetsu_code,26,varchar(1),[NULL],default,false,[NULL],重量種別コード
kyoso_joken_code_2sai,27,varchar(3),[NULL],default,false,[NULL],競走条件コード 2歳条件
kyoso_joken_code_3sai,28,varchar(3),[NULL],default,false,[NULL],競走条件コード 3歳条件
kyoso_joken_code_4sai,29,varchar(3),[NULL],default,false,[NULL],競走条件コード 4歳条件
kyoso_joken_code_5sai_ijo,30,varchar(3),[NULL],default,false,[NULL],競走条件コード 5歳以上条件
kyoso_joken_code,31,varchar(3),[NULL],default,false,[NULL],競走条件コード 最若年条件
kyori,32,varchar(4),[NULL],default,false,[NULL],距離
track_code,33,varchar(2),[NULL],default,false,[NULL],トラックコード
course_kubun,34,varchar(2),[NULL],default,false,[NULL],コース区分
handicap_happyobi,35,varchar(8),[NULL],default,false,[NULL],ハンデ発表日
toroku_tosu,36,varchar(3),[NULL],default,false,[NULL],登録頭数
