列名	＃	データ・タイプ	身元	Collation	ヌルでない	デフォルト	コメント
record_id	1	varchar(2)	[NULL]	default	false	[NULL]	レコード種別ID
data_kubun	2	varchar(1)	[NULL]	default	false	[NULL]	データ区分
data_sakusei_nengappi	3	varchar(8)	[NULL]	default	false	[NULL]	データ作成年月日
kaisai_nen	4	varchar(4)	[NULL]	default	true	[NULL]	開催年
kaisai_tsukihi	5	varchar(4)	[NULL]	default	true	[NULL]	開催月日
keibajo_code	6	varchar(2)	[NULL]	default	true	[NULL]	競馬場コード
kaisai_kai	7	varchar(2)	[NULL]	default	false	[NULL]	開催回[第N回]
kaisai_nichime	8	varchar(2)	[NULL]	default	false	[NULL]	開催日目[N日目]
race_bango	9	varchar(2)	[NULL]	default	true	[NULL]	レース番号
data_sakusei_jifun	10	varchar(4)	[NULL]	default	false	[NULL]	データ作成時分
mining_yoso_01	11	varchar(6)	[NULL]	default	false	[NULL]	マイニング予想1
mining_yoso_02	12	varchar(6)	[NULL]	default	false	[NULL]	マイニング予想2
mining_yoso_03	13	varchar(6)	[NULL]	default	false	[NULL]	マイニング予想3
mining_yoso_04	14	varchar(6)	[NULL]	default	false	[NULL]	マイニング予想4
mining_yoso_05	15	varchar(6)	[NULL]	default	false	[NULL]	マイニング予想5
mining_yoso_06	16	varchar(6)	[NULL]	default	false	[NULL]	マイニング予想6
mining_yoso_07	17	varchar(6)	[NULL]	default	false	[NULL]	マイニング予想7
mining_yoso_08	18	varchar(6)	[NULL]	default	false	[NULL]	マイニング予想8
mining_yoso_09	19	varchar(6)	[NULL]	default	false	[NULL]	マイニング予想9
mining_yoso_10	20	varchar(6)	[NULL]	default	false	[NULL]	マイニング予想10
mining_yoso_11	21	varchar(6)	[NULL]	default	false	[NULL]	マイニング予想11
mining_yoso_12	22	varchar(6)	[NULL]	default	false	[NULL]	マイニング予想12
mining_yoso_13	23	varchar(6)	[NULL]	default	false	[NULL]	マイニング予想13
mining_yoso_14	24	varchar(6)	[NULL]	default	false	[NULL]	マイニング予想14
mining_yoso_15	25	varchar(6)	[NULL]	default	false	[NULL]	マイニング予想15
mining_yoso_16	26	varchar(6)	[NULL]	default	false	[NULL]	マイニング予想16
mining_yoso_17	27	varchar(6)	[NULL]	default	false	[NULL]	マイニング予想17
mining_yoso_18	28	varchar(6)	[NULL]	default	false	[NULL]	マイニング予想18
