列名,＃,データ・タイプ,身元,Collation,ヌルでない,デフォルト,コメント
record_id,1,varchar(2),[NULL],default,false,[NULL],レコード種別ID
data_kubun,2,varchar(1),[NULL],default,false,[NULL],データ区分
data_sakusei_nengappi,3,varchar(8),[NULL],default,false,[NULL],データ作成年月日
ketto_toroku_bango,4,varchar(10),[NULL],default,true,[NULL],血統登録番号
massho_kubun,5,varchar(1),[NULL],default,false,[NULL],競走馬抹消区分
toroku_nengappi,6,varchar(8),[NULL],default,false,[NULL],競走馬登録年月日
massho_nengappi,7,varchar(8),[NULL],default,false,[NULL],競走馬抹消年月日
seinengappi,8,varchar(8),[NULL],default,false,[NULL],生年月日
bamei,9,varchar(36),[NULL],default,false,[NULL],馬名
bamei_hankaku_kana,10,varchar(36),[NULL],default,false,[NULL],馬名半角ｶﾅ
bamei_eur,11,varchar(60),[NULL],default,false,[NULL],馬名欧字
zaikyu_flag,12,varchar(1),[NULL],default,false,[NULL],JRA施設在きゅうフラグ
yobi_1,13,varchar(19),[NULL],default,false,[NULL],予備
umakigo_code,14,varchar(2),[NULL],default,false,[NULL],馬記号コード
seibetsu_code,15,varchar(1),[NULL],default,false,[NULL],性別コード
hinshu_code,16,varchar(1),[NULL],default,false,[NULL],品種コード
moshoku_code,17,varchar(2),[NULL],default,false,[NULL],毛色コード
ketto_joho_01a,18,varchar(10),[NULL],default,false,[NULL],3代血統情報1
ketto_joho_01b,19,varchar(36),[NULL],default,false,[NULL],3代血統情報1
ketto_joho_02a,20,varchar(10),[NULL],default,false,[NULL],3代血統情報2
ketto_joho_02b,21,varchar(36),[NULL],default,false,[NULL],3代血統情報2
ketto_joho_03a,22,varchar(10),[NULL],default,false,[NULL],3代血統情報3
ketto_joho_03b,23,varchar(36),[NULL],default,false,[NULL],3代血統情報3
ketto_joho_04a,24,varchar(10),[NULL],default,false,[NULL],3代血統情報4
ketto_joho_04b,25,varchar(36),[NULL],default,false,[NULL],3代血統情報4
ketto_joho_05a,26,varchar(10),[NULL],default,false,[NULL],3代血統情報5
ketto_joho_05b,27,varchar(36),[NULL],default,false,[NULL],3代血統情報5
ketto_joho_06a,28,varchar(10),[NULL],default,false,[NULL],3代血統情報6
ketto_joho_06b,29,varchar(36),[NULL],default,false,[NULL],3代血統情報6
ketto_joho_07a,30,varchar(10),[NULL],default,false,[NULL],3代血統情報7
ketto_joho_07b,31,varchar(36),[NULL],default,false,[NULL],3代血統情報7
ketto_joho_08a,32,varchar(10),[NULL],default,false,[NULL],3代血統情報8
ketto_joho_08b,33,varchar(36),[NULL],default,false,[NULL],3代血統情報8
ketto_joho_09a,34,varchar(10),[NULL],default,false,[NULL],3代血統情報9
ketto_joho_09b,35,varchar(36),[NULL],default,false,[NULL],3代血統情報9
ketto_joho_10a,36,varchar(10),[NULL],default,false,[NULL],3代血統情報10
ketto_joho_10b,37,varchar(36),[NULL],default,false,[NULL],3代血統情報10
ketto_joho_11a,38,varchar(10),[NULL],default,false,[NULL],3代血統情報11
