列名	＃	データ・タイプ	身元	Collation	ヌルでない	デフォルト	コメント
record_id	1	varchar(2)	[NULL]	default	false	[NULL]	レコード種別ID
data_kubun	2	varchar(1)	[NULL]	default	false	[NULL]	データ区分
data_sakusei_nengappi	3	varchar(8)	[NULL]	default	false	[NULL]	データ作成年月日
tracen_kubun	4	varchar(1)	[NULL]	default	true	[NULL]	トレセン区分
chokyo_nengappi	5	varchar(8)	[NULL]	default	true	[NULL]	調教年月日
chokyo_jikoku	6	varchar(4)	[NULL]	default	true	[NULL]	調教時刻
ketto_toroku_bango	7	varchar(10)	[NULL]	default	true	[NULL]	血統登録番号
course	8	varchar(1)	[NULL]	default	false	[NULL]	コース
babamawari	9	varchar(1)	[NULL]	default	false	[NULL]	馬場周り
yobi_1	10	varchar(1)	[NULL]	default	false	[NULL]	予備
time_gokei_10f	11	varchar(4)	[NULL]	default	false	[NULL]	10ハロンタイム合計(2000M～0M)
lap_time_10f	12	varchar(3)	[NULL]	default	false	[NULL]	ラップタイム(2000M～1800M)
time_gokei_9f	13	varchar(4)	[NULL]	default	false	[NULL]	9ハロンタイム合計(1800M～0M)
lap_time_9f	14	varchar(3)	[NULL]	default	false	[NULL]	ラップタイム(1800M～1600M)
time_gokei_8f	15	varchar(4)	[NULL]	default	false	[NULL]	8ロンタイム合計(1600M～0M)
lap_time_8f	16	varchar(3)	[NULL]	default	false	[NULL]	ラップタイム(1600M～1400M)
time_gokei_7f	17	varchar(4)	[NULL]	default	false	[NULL]	7ハロンタイム合計(1400M～0M)
lap_time_7f	18	varchar(3)	[NULL]	default	false	[NULL]	ラップタイム(1400M～1200M)
time_gokei_6f	19	varchar(4)	[NULL]	default	false	[NULL]	6ハロンタイム合計(1200M～0M)
lap_time_6f	20	varchar(3)	[NULL]	default	false	[NULL]	ラップタイム(1200M～1000M)
time_gokei_5f	21	varchar(4)	[NULL]	default	false	[NULL]	5ハロンタイム合計(1000M～0M)
lap_time_5f	22	varchar(3)	[NULL]	default	false	[NULL]	ラップタイム(1000M～800M)
time_gokei_4f	23	varchar(4)	[NULL]	default	false	[NULL]	4ハロンタイム合計(800M～0M)
lap_time_4f	24	varchar(3)	[NULL]	default	false	[NULL]	ラップタイム(800M～600M)
time_gokei_3f	25	varchar(4)	[NULL]	default	false	[NULL]	3ハロンタイム合計(600M～0M)
lap_time_3f	26	varchar(3)	[NULL]	default	false	[NULL]	ラップタイム(600M～400M)
time_gokei_2f	27	varchar(4)	[NULL]	default	false	[NULL]	2ハロンタイム合計(400M～0M)
lap_time_2f	28	varchar(3)	[NULL]	default	false	[NULL]	ラップタイム(400M～200M)
lap_time_1f	29	varchar(3)	[NULL]	default	false	[NULL]	ラップタイム(200M～0M)
