列名	＃	データ・タイプ	身元	Collation	ヌルでない	デフォルト	コメント
record_id	1	varchar(2)	[NULL]	default	false	[NULL]	レコード種別ID
data_kubun	2	varchar(1)	[NULL]	default	false	[NULL]	データ区分
data_sakusei_nengappi	3	varchar(8)	[NULL]	default	false	[NULL]	データ作成年月日
kaisai_nen	4	varchar(4)	[NULL]	default	true	[NULL]	開催年
kaisai_tsukihi	5	varchar(4)	[NULL]	default	true	[NULL]	開催月日
keibajo_code	6	varchar(2)	[NULL]	default	true	[NULL]	競馬場コード
kaisai_kai	7	varchar(2)	[NULL]	default	false	[NULL]	開催回[第N回]
kaisai_nichime	8	varchar(2)	[NULL]	default	false	[NULL]	開催日目[N日目]
race_bango	9	varchar(2)	[NULL]	default	true	[NULL]	レース番号
happyo_tsukihi_jifun	10	varchar(8)	[NULL]	default	false	[NULL]	発表月日時分
bataiju_joho_01	11	varchar(45)	[NULL]	default	false	[NULL]	馬体重情報1
bataiju_joho_02	12	varchar(45)	[NULL]	default	false	[NULL]	馬体重情報2
bataiju_joho_03	13	varchar(45)	[NULL]	default	false	[NULL]	馬体重情報3
bataiju_joho_04	14	varchar(45)	[NULL]	default	false	[NULL]	馬体重情報4
bataiju_joho_05	15	varchar(45)	[NULL]	default	false	[NULL]	馬体重情報5
bataiju_joho_06	16	varchar(45)	[NULL]	default	false	[NULL]	馬体重情報6
bataiju_joho_07	17	varchar(45)	[NULL]	default	false	[NULL]	馬体重情報7
bataiju_joho_08	18	varchar(45)	[NULL]	default	false	[NULL]	馬体重情報8
bataiju_joho_09	19	varchar(45)	[NULL]	default	false	[NULL]	馬体重情報9
bataiju_joho_10	20	varchar(45)	[NULL]	default	false	[NULL]	馬体重情報10
bataiju_joho_11	21	varchar(45)	[NULL]	default	false	[NULL]	馬体重情報11
bataiju_joho_12	22	varchar(45)	[NULL]	default	false	[NULL]	馬体重情報12
bataiju_joho_13	23	varchar(45)	[NULL]	default	false	[NULL]	馬体重情報13
bataiju_joho_14	24	varchar(45)	[NULL]	default	false	[NULL]	馬体重情報14
bataiju_joho_15	25	varchar(45)	[NULL]	default	false	[NULL]	馬体重情報15
bataiju_joho_16	26	varchar(45)	[NULL]	default	false	[NULL]	馬体重情報16
bataiju_joho_17	27	varchar(45)	[NULL]	default	false	[NULL]	馬体重情報17
bataiju_joho_18	28	varchar(45)	[NULL]	default	false	[NULL]	馬体重情報18
