ファイル名,説明
jvd_av.csv,出走取消･競走除外
jvd_bn.csv,馬主マスタ
jvd_br.csv,生産者マスタ
jvd_bt.csv,系統情報
jvd_cc.csv,コース変更
jvd_ch.csv,調教師マスタ
jvd_ck.csv,出走別着度数
jvd_cs.csv,コース情報
jvd_dm.csv,タイム型データマイニング予想
jvd_h1.csv,票数1
jvd_h6.csv,票数6(3連単)
jvd_hc.csv,坂路調教
jvd_hn.csv,繁殖馬マスタ
jvd_hr.csv,払戻
jvd_hs.csv,競走馬市場取引価格
jvd_hy.csv,馬名の意味由来情報
jvd_jc.csv,騎手変更
jvd_jg.csv,競走馬除外情報
jvd_ks.csv,騎手マスタ
jvd_o1.csv,オッズ1(単複枠)
jvd_o2.csv,オッズ2(馬連)
jvd_o3.csv,オッズ3(ワイド)
jvd_o4.csv,オッズ4(馬単)
jvd_o5.csv,オッズ5(3連複)
jvd_o6.csv,オッズ6(3連単)
jvd_ra.csv,レース詳細
jvd_rc.csv,レコードマスタ
jvd_se.csv,馬毎レース情報
jvd_sk.csv,産駒マスタ
jvd_tc.csv,発走時刻変更
jvd_tk.csv,特別登録馬
jvd_tm.csv,対戦型データマイニング予想
jvd_um.csv,競走馬マスタ
jvd_wc.csv,ウッドチップ調教
jvd_we.csv,天候馬場状態
jvd_wf.csv,重勝式(WIN5)
jvd_wh.csv,馬体重
jvd_ys.csv,開催スケジュール
