列名,＃,データ・タイプ,身元,Collation,ヌルでない,デフォルト,コメント
record_id,1,varchar(2),[NULL],default,false,[NULL],レコード種別ID
data_kubun,2,varchar(1),[NULL],default,false,[NULL],データ区分
data_sakusei_nengappi,3,varchar(8),[NULL],default,false,[NULL],データ作成年月日
hanshoku_toroku_bango,4,varchar(10),[NULL],default,true,[NULL],繁殖登録番号
yobi_1,5,varchar(8),[NULL],default,false,[NULL],予備
ketto_toroku_bango,6,varchar(10),[NULL],default,false,[NULL],血統登録番号
yobi_2,7,varchar(1),[NULL],default,false,[NULL],予備
bamei,8,varchar(36),[NULL],default,false,[NULL],馬名
bamei_hankaku_kana,9,varchar(40),[NULL],default,false,[NULL],馬名半角ｶﾅ
bamei_eur,10,varchar(80),[NULL],default,false,[NULL],馬名欧字
seinen,11,varchar(4),[NULL],default,false,[NULL],生年
seibetsu_code,12,varchar(1),[NULL],default,false,[NULL],性別コード
hinshu_code,13,varchar(1),[NULL],default,false,[NULL],品種コード
moshoku_code,14,varchar(2),[NULL],default,false,[NULL],毛色コード
mochikomi_kubun,15,varchar(1),[NULL],default,false,[NULL],繁殖馬持込区分
yunyu_nen,16,varchar(4),[NULL],default,false,[NULL],輸入年
sanchimei,17,varchar(20),[NULL],default,false,[NULL],産地名
ketto_joho_01a,18,varchar(10),[NULL],default,false,[NULL],父馬繁殖登録番号
ketto_joho_02a,19,varchar(10),[NULL],default,false,[NULL],母馬繁殖登録番号
