列名,＃,データ・タイプ,身元,Collation,ヌルでない,デフォルト,コメント
record_id,1,varchar(2),[NULL],default,false,[NULL],レコード種別ID
data_kubun,2,varchar(1),[NULL],default,false,[NULL],データ区分
data_sakusei_nengappi,3,varchar(8),[NULL],default,false,[NULL],データ作成年月日
kaisai_nen,4,varchar(4),[NULL],default,true,[NULL],開催年
kaisai_tsukihi,5,varchar(4),[NULL],default,true,[NULL],開催月日
keibajo_code,6,varchar(2),[NULL],default,true,[NULL],競馬場コード
kaisai_kai,7,varchar(2),[NULL],default,false,[NULL],開催回[第N回]
kaisai_nichime,8,varchar(2),[NULL],default,false,[NULL],開催日目[N日目]
race_bango,9,varchar(2),[NULL],default,true,[NULL],レース番号
happyo_tsukihi_jifun,10,varchar(8),[NULL],default,true,[NULL],発表月日時分
umaban,11,varchar(2),[NULL],default,true,[NULL],馬番
bamei,12,varchar(36),[NULL],default,false,[NULL],馬名
futan_juryo,13,varchar(3),[NULL],default,false,[NULL],負担重量
kishu_code,14,varchar(5),[NULL],default,false,[NULL],騎手コード
kishumei,15,varchar(34),[NULL],default,false,[NULL],騎手名
kishu_minarai_code,16,varchar(1),[NULL],default,false,[NULL],騎手見習コード
futan_juryo_henkomae,17,varchar(3),[NULL],default,false,[NULL],変更前負担重量
kishu_code_henkomae,18,varchar(5),[NULL],default,false,[NULL],変更前騎手コード
kishumei_henkomae,19,varchar(34),[NULL],default,false,[NULL],変更前騎手名
kishu_minarai_code_henkomae,20,varchar(1),[NULL],default,false,[NULL],変更前騎手見習コード
