列名,＃,データ・タイプ,身元,Collation,ヌルでない,デフォルト,コメント
record_id,1,varchar(2),[NULL],default,false,[NULL],レコード種別ID
data_kubun,2,varchar(1),[NULL],default,false,[NULL],データ区分
data_sakusei_nengappi,3,varchar(8),[NULL],default,false,[NULL],データ作成年月日
kaisai_nen,4,varchar(4),[NULL],default,true,[NULL],開催年
kaisai_tsukihi,5,varchar(4),[NULL],default,true,[NULL],開催月日
keibajo_code,6,varchar(2),[NULL],default,true,[NULL],競馬場コード
kaisai_kai,7,varchar(2),[NULL],default,false,[NULL],開催回[第N回]
kaisai_nichime,8,varchar(2),[NULL],default,false,[NULL],開催日目[N日目]
race_bango,9,varchar(2),[NULL],default,true,[NULL],レース番号
ketto_toroku_bango,10,varchar(10),[NULL],default,true,[NULL],血統登録番号
bamei,11,varchar(36),[NULL],default,false,[NULL],馬名
shutsuba_tohyo_uketsuke,12,varchar(3),[NULL],default,true,[NULL],出馬投票受付順番
shusso_kubun,13,varchar(1),[NULL],default,false,[NULL],出走区分
jogai_jotai_kubun,14,varchar(1),[NULL],default,false,[NULL],除外状態区分
