列名,＃,データ・タイプ,身元,Collation,ヌルでない,デフォルト,コメント
record_id,1,varchar(2),[NULL],default,false,[NULL],レコード種別ID
data_kubun,2,varchar(1),[NULL],default,false,[NULL],データ区分
data_sakusei_nengappi,3,varchar(8),[NULL],default,false,[NULL],データ作成年月日
kishu_code,4,varchar(5),[NULL],default,true,[NULL],騎手コード
massho_kubun,5,varchar(1),[NULL],default,false,[NULL],騎手抹消区分
menkyo_kofu_nengappi,6,varchar(8),[NULL],default,false,[NULL],騎手免許交付年月日
menkyo_massho_nengappi,7,varchar(8),[NULL],default,false,[NULL],騎手免許抹消年月日
seinengappi,8,varchar(8),[NULL],default,false,[NULL],生年月日
kishumei,9,varchar(34),[NULL],default,false,[NULL],騎手名
yobi_1,10,varchar(34),[NULL],default,false,[NULL],予備
kishumei_hankaku_kana,11,varchar(30),[NULL],default,false,[NULL],騎手名半角ｶﾅ
kishumei_ryakusho,12,varchar(8),[NULL],default,false,[NULL],騎手名略称
kishumei_eur,13,varchar(80),[NULL],default,false,[NULL],騎手名欧字
seibetsu_kubun,14,varchar(1),[NULL],default,false,[NULL],性別区分
kijo_shikaku_code,15,varchar(1),[NULL],default,false,[NULL],騎乗資格コード
kishu_minarai_code,16,varchar(1),[NULL],default,false,[NULL],騎手見習コード
tozai_shozoku_code,17,varchar(1),[NULL],default,false,[NULL],騎手東西所属コード
shotai_chiikimei,18,varchar(20),[NULL],default,false,[NULL],招待地域名
chokyoshi_code,19,varchar(5),[NULL],default,false,[NULL],所属調教師コード
chokyoshimei_ryakusho,20,varchar(8),[NULL],default,false,[NULL],所属調教師名略称
hatsukijo_joho_1,21,varchar(67),[NULL],default,false,[NULL],初騎乗情報1
hatsukijo_joho_2,22,varchar(67),[NULL],default,false,[NULL],初騎乗情報2
hatsushori_joho_1,23,varchar(64),[NULL],default,false,[NULL],初勝利情報1
hatsushori_joho_2,24,varchar(64),[NULL],default,false,[NULL],初勝利情報2
jushoshori_joho_1,25,varchar(163),[NULL],default,false,[NULL],最近重賞勝利情報1
jushoshori_joho_2,26,varchar(163),[NULL],default,false,[NULL],最近重賞勝利情報2
jushoshori_joho_3,27,varchar(163),[NULL],default,false,[NULL],最近重賞勝利情報3
seiseki_joho_1,28,varchar(1052),[NULL],default,false,[NULL],本年･前年･累計成績情報1
seiseki_joho_2,29,varchar(1052),[NULL],default,false,[NULL],本年･前年･累計成績情報2
seiseki_joho_3,30,varchar(1052),[NULL],default,false,[NULL],本年･前年･累計成績情報3
