列名,＃,データ・タイプ,身元,Collation,ヌルでない,デフォルト,コメント
record_id,1,varchar(2),[NULL],default,false,[NULL],レコード種別ID
data_kubun,2,varchar(1),[NULL],default,false,[NULL],データ区分
data_sakusei_nengappi,3,varchar(8),[NULL],default,false,[NULL],データ作成年月日
kaisai_nen,4,varchar(4),[NULL],default,true,[NULL],開催年
kaisai_tsukihi,5,varchar(4),[NULL],default,true,[NULL],開催月日
keibajo_code,6,varchar(2),[NULL],default,true,[NULL],競馬場コード
kaisai_kai,7,varchar(2),[NULL],default,false,[NULL],開催回[第N回]
kaisai_nichime,8,varchar(2),[NULL],default,false,[NULL],開催日目[N日目]
race_bango,9,varchar(2),[NULL],default,true,[NULL],レース番号
happyo_tsukihi_jifun,10,varchar(8),[NULL],default,false,[NULL],発表月日時分
toroku_tosu,11,varchar(2),[NULL],default,false,[NULL],登録頭数
shusso_tosu,12,varchar(2),[NULL],default,false,[NULL],出走頭数
hatsubai_flag_tansho,13,varchar(1),[NULL],default,false,[NULL],発売フラグ　単勝
hatsubai_flag_fukusho,14,varchar(1),[NULL],default,false,[NULL],発売フラグ　複勝
hatsubai_flag_wakuren,15,varchar(1),[NULL],default,false,[NULL],発売フラグ　枠連
fukusho_chakubarai_key,16,varchar(1),[NULL],default,false,[NULL],複勝着払キー
odds_tansho,17,varchar(224),[NULL],default,false,[NULL],単勝オッズ
odds_fukusho,18,varchar(336),[NULL],default,false,[NULL],複勝オッズ
odds_wakuren,19,varchar(324),[NULL],default,false,[NULL],枠連オッズ
hyosu_gokei_tansho,20,varchar(11),[NULL],default,false,[NULL],単勝票数合計
hyosu_gokei_fukusho,21,varchar(11),[NULL],default,false,[NULL],複勝票数合計
hyosu_gokei_wakuren,22,varchar(11),[NULL],default,false,[NULL],枠連票数合計
