列名,＃,データ・タイプ,身元,Collation,ヌルでない,デフォルト,コメント
record_id,1,varchar(2),[NULL],default,false,[NULL],レコード種別ID
data_kubun,2,varchar(1),[NULL],default,false,[NULL],データ区分
data_sakusei_nengappi,3,varchar(8),[NULL],default,false,[NULL],データ作成年月日
ketto_toroku_bango,4,varchar(10),[NULL],default,true,[NULL],血統登録番号
seinengappi,5,varchar(8),[NULL],default,false,[NULL],生年月日
seibetsu_code,6,varchar(1),[NULL],default,false,[NULL],性別コード
hinshu_code,7,varchar(1),[NULL],default,false,[NULL],品種コード
moshoku_code,8,varchar(2),[NULL],default,false,[NULL],毛色コード
mochikomi_kubun,9,varchar(1),[NULL],default,false,[NULL],産駒持込区分
yunyu_nen,10,varchar(4),[NULL],default,false,[NULL],輸入年
seisansha_code,11,varchar(8),[NULL],default,false,[NULL],生産者コード
sanchimei,12,varchar(20),[NULL],default,false,[NULL],産地名
ketto_joho_01a,13,varchar(10),[NULL],default,false,[NULL],3代血統情報1
ketto_joho_02a,14,varchar(10),[NULL],default,false,[NULL],3代血統情報2
ketto_joho_03a,15,varchar(10),[NULL],default,false,[NULL],3代血統情報3
ketto_joho_04a,16,varchar(10),[NULL],default,false,[NULL],3代血統情報4
ketto_joho_05a,17,varchar(10),[NULL],default,false,[NULL],3代血統情報5
ketto_joho_06a,18,varchar(10),[NULL],default,false,[NULL],3代血統情報6
ketto_joho_07a,19,varchar(10),[NULL],default,false,[NULL],3代血統情報7
ketto_joho_08a,20,varchar(10),[NULL],default,false,[NULL],3代血統情報8
ketto_joho_09a,21,varchar(10),[NULL],default,false,[NULL],3代血統情報9
ketto_joho_10a,22,varchar(10),[NULL],default,false,[NULL],3代血統情報10
ketto_joho_11a,23,varchar(10),[NULL],default,false,[NULL],3代血統情報11
ketto_joho_12a,24,varchar(10),[NULL],default,false,[NULL],3代血統情報12
ketto_joho_13a,25,varchar(10),[NULL],default,false,[NULL],3代血統情報13
ketto_joho_14a,26,varchar(10),[NULL],default,false,[NULL],3代血統情報14
