ファイル名,テーブル名,説明
jvd_av.csv,jvd_av,出走取消･競走除外
jvd_bn.csv,jvd_bn,馬主マスタ
jvd_br.csv,jvd_br,生産者マスタ
jvd_bt.csv,jvd_bt,系統情報
jvd_cc.csv,jvd_cc,コース変更
jvd_ch.csv,jvd_ch,調教師マスタ
jvd_ck.csv,jvd_ck,出走別着度数
jvd_cs.csv,jvd_cs,コース情報
jvd_dm.csv,jvd_dm,タイム型データマイニング予想
jvd_h1.csv,jvd_h1,票数1
jvd_h6.csv,jvd_h6,票数6(3連単)
jvd_hc.csv,jvd_hc,坂路調教
jvd_hn.csv,jvd_hn,繁殖馬マスタ
jvd_hr.csv,jvd_hr,払戻
jvd_hs.csv,jvd_hs,競走馬市場取引価格
jvd_hy.csv,jvd_hy,馬名の意味由来情報
jvd_jc.csv,jvd_jc,騎手変更
jvd_jg.csv,jvd_jg,競走馬除外情報
jvd_ks.csv,jvd_ks,騎手マスタ
jvd_o1.csv,jvd_o1,オッズ1(単複枠)
jvd_o2.csv,jvd_o2,オッズ2(馬連)
jvd_o3.csv,jvd_o3,オッズ3(ワイド)
jvd_o4.csv,jvd_o4,オッズ4(馬単)
jvd_o5.csv,jvd_o5,オッズ5(3連複)
jvd_o6.csv,jvd_o6,オッズ6(3連単)
jvd_ra.csv,jvd_ra,レース詳細
jvd_rc.csv,jvd_rc,レコードマスタ
jvd_se.csv,jvd_se,馬毎レース情報
jvd_sk.csv,jvd_sk,産駒マスタ
jvd_tc.csv,jvd_tc,発走時刻変更
jvd_tk.csv,jvd_tk,特別登録馬
jvd_tm.csv,jvd_tm,対戦型データマイニング予想
jvd_um.csv,jvd_um,競走馬マスタ
jvd_wc.csv,jvd_wc,ウッドチップ調教
jvd_we.csv,jvd_we,天候馬場状態
jvd_wf.csv,jvd_wf,重勝式(WIN5)
jvd_wh.csv,jvd_wh,馬体重
jvd_ys.csv,jvd_ys,開催スケジュール
